Sample,Channel 1 [V],Channel 2 [V],Channel 3 [V],Channel 4 [V]
0,-0.0064199452564647225,0.021869400818968383,0.09358331682188605,0.5047581711619213
1,0.019894458910591724,0.0017585718519964608,-0.07167286214956202,-0.49634254172671544
2,-0.02944504890263911,0.008462181507653769,-0.1948049170694645,-0.49634254172671544
3,0.00015865578529938862,0.005110376679825114,-0.24340967559047863,-0.5093861992236358
4,0.02318375943147378,-0.004945037803660846,-0.21100650324313588,-0.5061252848494057
5,-0.0064199452564647225,-0.015000452287146807,-0.1008357172621705,-0.4767770554813349
6,-0.019577147339992947,0.008462181507653769,0.06766077894401183,0.47867085616808064
7,-0.009709245777346779,-0.0082968426314895,0.1940331510986486,0.5014972567876912
8,-0.003130644735582667,0.015165791163311074,0.23939759238492844,0.5014972567876912
9,0.00015865578529938862,-0.004945037803660846,0.2069944200375857,0.5047581711619213
